"cons_carp","cons_walk","cons_bike","cons_ptwalk","s_age2_carp","s_age2_walk","s_age2_bike","s_age2_ptwalk","s_age4_carp","s_age4_walk","s_age4_bike","s_age4_ptwalk","s_age5_carp","s_age5_walk","s_age5_bike","s_age5_ptwalk","s_age6_carp","s_age6_walk","s_age6_bike","s_age6_ptwalk","s_female_carp","s_female_walk","s_female_bike","s_female_ptwalk","s_inc1_carp","s_inc1_walk","s_inc1_bike","s_inc1_ptwalk","s_inc2_carp","s_inc2_walk","s_inc2_bike","s_inc2_ptwalk","s_inc3_carp","s_inc3_walk","s_inc3_bike","s_inc3_ptwalk","s_inc4_carp","s_inc4_walk","s_inc4_bike","s_inc4_ptwalk","s_inc6_carp","s_inc6_walk","s_inc6_bike","s_inc6_ptwalk","s_cars_carp","s_cars_walk","s_cars_bike","s_cars_ptwalk","s_bikes_carp","s_bikes_walk","s_bikes_bike","s_bikes_ptwalk","s_work2_carp","s_work2_walk","s_work2_bike","s_work2_ptwalk","s_work4_carp","s_work4_walk","s_work4_bike","s_work4_ptwalk","s_vgvi_walk","s_vgvi_bike","s_light_walk","s_light_bike","s_shannon_walk","s_shannon_bike","s_crime_walk","s_crime_bike","s_streslnk_bike","s_stresjct_walk","s_timecarp","s_distwalk","s_distbike","s_timept","lambda_car","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-9606.01694619096
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-9606.01694619096
-3.82436692714691e-06,1.30792106688023e-06,-1.24695893377066e-06,-5.87775930762291e-08,-1.00468053668737e-06,2.60983467102051e-07,3.80927994847298e-08,6.86967469751835e-07,-7.97286398708821e-07,-2.7299840003252e-07,-1.98587737977505e-07,-1.59334398806095e-07,-8.37973333895207e-07,-2.8501333296299e-07,-1.80224001407623e-07,-3.4372266381979e-07,-4.52266663312912e-07,-2.31082662940025e-07,-9.35253351926804e-08,-1.67935997247696e-07,-1.67806293070316e-06,8.16401071846486e-07,-8.5613226890564e-07,2.56614401936531e-07,-4.85307738184929e-07,4.44484263658524e-07,-6.68330639600754e-08,9.32522639632226e-08,-8.40226136147976e-07,5.3193386644125e-07,-1.40834130346775e-07,1.60904534161091e-07,-4.35541331768036e-07,2.73066662251949e-07,-1.30730666220188e-07,-1.00693330168724e-07,-5.6565760076046e-07,1.38854399323464e-07,-2.15108267962933e-07,-1.48548267781735e-07,-1.09615786373615e-06,-2.52586603164673e-09,-3.29181864857674e-07,5.34527972340584e-08,-3.85652053356171e-06,2.5995946675539e-07,-2.55877120047808e-06,-2.05496320128441e-06,-1.51674880087376e-06,2.1082112044096e-06,-2.99130880087614e-06,-4.76364798843861e-07,-3.13890129327774e-07,-7.22261369228364e-08,-6.43754675984383e-08,1.58378705382347e-08,-3.6556800454855e-07,2.28454399853945e-06,-7.82335996627808e-07,7.43082664906979e-07,1.07671491801739e-07,-4.21153150498867e-07,-1.74171477556229e-09,1.16016715764999e-09,5.04526682198048e-07,-2.03813061118126e-07,5.58897852897644e-08,-1.35723277926445e-08,-7.88876488804818e-07,6.0097798705101e-08,-0.00162382929865271,3.24810966849327e-06,-9.45901342481375e-06,-0.000114067223377526,1.00000112230842,-9284.96240591835
-3.9747978412735e-06,1.33700785283647e-06,-1.34272709262749e-06,-4.71328335848815e-08,-1.04972085423933e-06,2.65975910613182e-07,3.73351855879155e-08,7.33662150417623e-07,-8.32319370530737e-07,-3.00117078129675e-07,-2.1431602690316e-07,-1.66325344927631e-07,-8.75713457654034e-07,-3.12665234330832e-07,-1.9430289720777e-07,-3.62727366065089e-07,-4.715097959355e-07,-2.51777492462456e-07,-1.00615406928065e-07,-1.77130052520735e-07,-1.74384851474781e-06,8.44525549256342e-07,-9.17619826648842e-07,2.79521587768255e-07,-5.1129722314494e-07,4.69298205100207e-07,-7.19335072507052e-08,9.97216910533345e-08,-8.81467690701702e-07,5.57868218832847e-07,-1.51467778206647e-07,1.72537821988525e-07,-4.51589485717e-07,2.83737566247778e-07,-1.4109372236604e-07,-1.0533009200189e-07,-5.84400270831414e-07,1.38188158780111e-07,-2.31912813416912e-07,-1.54846131462029e-07,-1.13403489536296e-06,-2.14065216460808e-08,-3.55088266755683e-07,6.23044150695443e-08,-3.96991318505805e-06,2.05901777276166e-07,-2.74565862457045e-06,-2.16075933446196e-06,-1.53743122912241e-06,2.21109390529119e-06,-3.21819429380797e-06,-4.89717886711295e-07,-3.28171234500324e-07,-8.0489527097257e-08,-6.94374570029948e-08,1.77708849043503e-08,-3.65330286019272e-07,2.41849866939871e-06,-8.37589558211096e-07,7.93715315165948e-07,9.83696943166343e-08,-4.52997825120621e-07,-1.93686849170673e-09,1.21561187535925e-09,5.26485353843401e-07,-2.20006935518092e-07,5.84221138008085e-08,-1.47270710915436e-08,-8.47731499873997e-07,6.1983896654015e-08,-0.00166747502475761,2.98203157302391e-06,-1.02000859525794e-05,-6.58703963161467e-05,1.00000115546438,-9276.67535698179
-0.0192025025930438,0.000674013992004671,-0.0249055775818843,-0.0015106983554029,-0.0073057891340524,-0.000168781193671731,-0.000564100120509417,0.0102668083009938,-0.00555288104730488,-0.00759017105992727,-0.00411972580966109,-0.00243382940994276,-0.00622436590812244,-0.00769445672731004,-0.00367348936635654,-0.00532151182983367,-0.00289312649084453,-0.00564301807378557,-0.00183131085246729,-0.00268189512575654,-0.00830294869447977,0.00393516734326956,-0.015580269770636,0.00361164097217294,-0.00529958388795829,0.00550644442629305,-0.00132757839993521,0.00129680804916043,-0.00762465133210471,0.00528186125225945,-0.00275425300496199,0.00213891839971311,-0.00172259843070415,0.00178465348038393,-0.00272913955916452,-0.00168198442761041,-0.00139851906307964,-0.00124752596172709,-0.00439943004272979,-0.00225739691104411,-0.00329547080025306,-0.00669119796229375,-0.00679826315146481,0.000643121053152147,-0.00357709563809255,-0.0210317547985958,-0.0476148223402711,-0.0310142000562225,0.00846690146006145,0.0209740742496034,-0.0587169102057027,-0.00569551327758684,-0.00237842725924909,-0.00240531651358848,-0.00132597904027402,0.000179262755453766,0.00433401370410123,0.030650503835329,-0.013933970027196,0.0112564533190625,-0.0040891098794797,-0.0082274931767872,-5.63883550107258e-05,1.12036468196287e-05,0.00407949129249375,-0.00426726873869116,0.000485026205737137,-0.000311890249601873,-0.0151418087310435,0.000225139078695027,-0.00281794732849749,-0.119143898332573,-0.194260501894801,-0.000278852708447759,1.00367255648952,-9145.44664051221
-0.0262720082711983,0.00666786809701347,-0.0280174989817106,-0.00270780090683876,-0.0096915144965377,0.000933980927223143,5.3226400220389e-05,0.0127259807176236,-0.00720987500784617,-0.0089074749702148,-0.00471570083608253,-0.00316947955612075,-0.00803359412651304,-0.00898516882005877,-0.00422479842492512,-0.00680621195092298,-0.0037507763697623,-0.00666668344145366,-0.00213398547441462,-0.0034403036746391,-0.011453405465851,0.00779302298207913,-0.0182450810754957,0.0042268624535836,-0.00712902822618258,0.00752256505806129,-0.00146891614293366,0.00151339280240543,-0.0101007084450932,0.00762399780919364,-0.00307265038202284,0.00251107439073856,-0.00244527034919116,0.00299635928028246,-0.00296616652891275,-0.00226241957676563,-0.00196807024388904,-0.000625744414356914,-0.00491211345315,-0.00293023080262498,-0.00467675997502572,-0.00653696126946114,-0.0075342449279346,0.000588314521044987,-0.00569316817201353,-0.0191151553859574,-0.0555503728453365,-0.0395463331575493,0.00823748873813705,0.0299020892860932,-0.0663327214692765,-0.00861070582449015,-0.00312977464266825,-0.00271726100915485,-0.00149311004420561,0.000166025629535305,0.00429877071069162,0.0412319962613449,-0.0160592921146253,0.0138691008948656,-0.00364057160902628,-0.00941580956786469,-6.44002188190209e-05,1.8358427312926e-05,0.00641422367409531,-0.00464990253709219,0.000739147465781148,-0.000325820573439125,-0.017259577935452,0.000505928985532648,-0.0027335060184906,-0.104292408892058,-0.217923944575053,-0.000261984728226078,1.00169650027763,-9083.77438681044
-0.194012953318551,0.0970916144747771,-0.0270008396718426,-0.033283736984692,-0.0662258020114195,0.015299119657228,0.0309623989039606,0.0713080353642562,-0.0475201615463016,-0.0476152181362824,-0.00815171767361657,-0.021388617313353,-0.0516534537878756,-0.0462379002531043,-0.00843348476416636,-0.0425559771240998,-0.0242836454055011,-0.0345154741650176,-0.00535860754525234,-0.0216091524786895,-0.0841492677823162,0.0755981506086112,-0.0498002529361292,0.0188510885958887,-0.0501012399946772,0.0509689427248801,0.000251481575867573,0.00631504799361805,-0.0689686693900895,0.0563341072095792,-0.0013456853946479,0.0109757112695102,-0.0198976659013433,0.024960777935398,0.0018786573674278,-0.0166308706401969,-0.0158798959794114,0.0058836966105606,-0.00347216417765647,-0.0193822278408433,-0.0365628421692546,-0.0195551439627612,-0.00244267226999364,-0.000806510881067787,-0.0552573864424645,-0.0374361382108647,-0.146838515433545,-0.243045734773321,-0.0118278189591322,0.14705014932441,-0.0795715388395838,-0.0902288114182938,-0.0210396279536562,-0.0131479705763718,-0.00148935333453597,-0.000315600961911494,0.00651769190047486,0.270222542965453,-0.0326342565069605,0.0759696959358677,-0.00808023608114143,-0.0163639288404708,-0.000321526515203355,0.000277547024499414,0.0518204261755547,0.00215609294847501,0.00575834210831499,0.000830804535716477,-0.0268211878511172,0.00534569813309199,-0.00234797092785458,-0.154431804720746,-0.188571030592393,-0.000181607033182116,0.947349927739893,-8710.16571818459
-0.322508913713938,0.198454740300238,-0.0222859055739676,-0.0635280824943531,-0.123953755807509,0.0253150623371481,0.0815026242456942,0.165185441659171,-0.107801621616913,-0.10091601266991,-0.0135241426709893,-0.0496577372889621,-0.116230236128864,-0.0987887141610171,-0.0147100905791485,-0.0943664016387818,-0.0542219523710939,-0.0725269453216415,-0.0108018311700374,-0.0500250581515841,-0.113228364020157,0.146588621062429,-0.0995951743016658,0.0513945935041261,-0.0991831167019647,0.110178715544521,0.00276324572852119,0.00874297723921647,-0.1399834699811,0.129572913692637,0.00120281305049175,0.0162687549654194,-0.0301657016624613,0.0547236684753158,0.00965026016277804,-0.0382648202360097,-0.0205535752786666,0.0147651076940316,-0.000326075295400965,-0.0396909197676925,-0.040088871405479,-0.0518905046861351,0.00679952060392303,0.00825189146841777,0.0279730438060629,-0.128496617259495,-0.284838974475136,-0.465547966215445,0.156891234183172,0.0778174696328645,-0.0853788856947765,-0.10135776130086,-0.0439648319223309,-0.0279053386448825,-0.00170182985521053,-0.0011654652132955,0.126923383865737,0.552217603845366,-0.0566361346403911,0.187272724840258,-0.0270061614958767,-0.0263933341749179,-0.000681689722111495,0.000701982756115294,0.114308615591897,0.0134785523373944,0.0129582022385777,0.00271379601453735,-0.0409773285948767,0.0117406718577411,-0.00239978965708543,-0.156459645240591,-0.149874298753556,-6.32896705946476e-05,1.01183099068638,-8368.82283062821
-0.640982621841046,0.439056637205972,0.0292204600624897,0.00318947411345466,-0.243557190859078,-0.0320148799144187,0.299100809252688,0.558194463007108,-0.350835216859575,-0.255672674094769,-0.0408387756844257,-0.157345780042577,-0.378409746720565,-0.255213101954087,-0.0412699252696284,-0.260219522073049,-0.162183309652343,-0.205041352701217,-0.0373878586301392,-0.152161639040457,-0.00746054829833925,0.216513354240907,-0.291566687421487,0.287468546022534,-0.151786354686996,0.2214592017029,0.0152140059466369,-0.00406001288155004,-0.293795104631701,0.32822953380682,0.0131855444486172,-0.00381437709878807,-0.0547402483320614,0.164035380792873,0.0424544738062048,-0.10850890441508,-0.0671929034573387,0.0822069365163847,0.0195425053854619,-0.0724266535370846,-0.03004447085728,-0.185331098458491,0.0553556017169063,0.139218172732454,-0.0391107218583779,-0.363341049283823,-0.783369747308638,-0.575650348357636,-0.0227753163069163,-0.218343382829018,0.0212077090425881,0.470227010597908,-0.112914692547479,-0.0802766164599927,-0.00521924567195864,-0.00182361098429127,0.776275680518127,1.29708029908734,-0.108969517273717,0.753176123732317,-0.142066574127389,-0.0591983612203603,-0.00200595566370963,0.00251024110072506,0.324216106005343,0.0662280057021186,0.0365465660629378,0.0110384269408215,-0.0828864976013225,0.0307627910676024,-0.00172007627522742,-0.147992683911921,-0.0982301473006432,-0.000311601384295416,0.775903328656144,-8154.21900775668
-0.603561905174195,0.631068977787073,0.12901955686072,0.00771091502352908,-0.265434568341675,-0.146782499672957,0.615051499061642,0.968771209310126,-0.656935609382367,-0.414048939322314,-0.0838054793927518,-0.298328113508196,-0.712988124804043,-0.414980689672207,-0.0762874225400051,-0.455140004260414,-0.289735030071259,-0.37337914082685,-0.0782884579985737,-0.269181431421411,0.449578017290892,0.155025052871541,-0.539738614601279,0.552313051486351,-0.0914523982191338,0.243314418265862,0.0348523334491307,-0.0304034238161694,-0.363476451230228,0.461190913644719,0.0303104057678591,-0.043421161406958,-0.0279612766859646,0.294111073378352,0.0831594655807645,-0.209743316190284,-0.0924283999495207,0.201508014513261,0.0532851336980825,-0.107159666825936,0.100379066893628,-0.312680076689336,0.136481119451033,0.247286628757505,0.0207083769454194,-0.423447441156914,-1.39432833367008,-0.587031388484581,-0.210082935662994,0.00839585450202543,0.268694833053475,0.412590065377268,-0.17066808063856,-0.146461233477628,-0.0126538322091844,-0.00621576768130026,2.00709321629023,1.99056959450192,-0.138179895542801,1.37849653812075,-0.321632422281978,-0.0959435000200193,-0.00378192363640148,0.005050479451603,0.572910655638546,0.145832973907687,0.0637103522060149,0.0231508621535856,-0.128743580620937,0.0502503837167396,-0.00228087770748569,-0.179882586300755,-0.0339809550298998,-0.00036960997826261,0.647621886056044,-7721.58148514442
