"cons_carp","cons_walk","cons_bike","cons_ptwalk","f_age2_carp","f_age2_walk","f_age2_bike","f_age2_ptwalk","f_age4_carp","f_age4_walk","f_age4_bike","f_age4_ptwalk","f_age5_carp","f_age5_walk","f_age5_bike","f_age5_ptwalk","f_age6_carp","f_age6_walk","f_age6_bike","f_age6_ptwalk","f_female_carp","f_female_walk","f_female_bike","f_female_ptwalk","f_inc1_carp","f_inc1_walk","f_inc1_bike","f_inc1_ptwalk","f_inc2_carp","f_inc2_walk","f_inc2_bike","f_inc2_ptwalk","f_inc3_carp","f_inc3_walk","f_inc3_bike","f_inc3_ptwalk","f_inc4_carp","f_inc4_walk","f_inc4_bike","f_inc4_ptwalk","f_inc6_carp","f_inc6_walk","f_inc6_bike","f_inc6_ptwalk","f_cars_carp","f_cars_walk","f_cars_bike","f_cars_ptwalk","f_bikes_carp","f_bikes_walk","f_bikes_bike","f_bikes_ptwalk","f_work2_carp","f_work2_walk","f_work2_bike","f_work2_ptwalk","f_work4_carp","f_work4_walk","f_work4_bike","f_work4_ptwalk","f_vgvi_walk","f_vgvi_bike","f_light_walk","f_light_bike","f_shannon_walk","f_shannon_bike","f_crime_walk","f_crime_bike","f_streslnk_bike","f_stresjct_walk","f_timecarp","f_timewalk","f_timebike","f_timept","lambda_car","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-10068.016528429
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-10068.016528429
-3.20989866256714e-08,9.64744538068772e-09,-1.06550613045693e-08,-4.06869292259217e-10,-8.49728852510453e-09,2.21784746646881e-09,2.65420794487e-10,5.79775148630143e-09,-6.66610342264176e-09,-2.37349545955658e-09,-1.66079145669937e-09,-1.26757544279099e-09,-7.33948582410813e-09,-2.75196582078934e-09,-1.70065921545029e-09,-2.89942181110382e-09,-3.78634238243103e-09,-1.9841023683548e-09,-7.82609045505524e-10,-1.47892904281616e-09,-1.40585641860962e-08,6.22482776641846e-09,-7.25920426845551e-09,2.24624639749527e-09,-3.96875089406967e-09,3.46958512067795e-09,-5.60878932476044e-10,9.21873092651368e-10,-6.97739946842194e-09,4.45863252878189e-09,-1.15015679597855e-09,1.29925119876862e-09,-3.90703791379929e-09,2.12227410078049e-09,-1.18183255195618e-09,-9.2788052558899e-10,-4.7185919880867e-09,9.17504012584687e-10,-1.84046930074692e-09,-1.2424533367157e-09,-9.30775040388108e-09,-2.63782382011414e-10,-2.74049705266953e-09,5.17188251018525e-10,-3.26866260766983e-08,4.41821932792664e-10,-2.1925068795681e-08,-1.71491327881813e-08,-1.28936618566513e-08,1.59094101190567e-08,-2.52471978664398e-08,-3.33086717128754e-09,-2.76179623603821e-09,-5.99108278751374e-10,-5.77262938022614e-10,1.4363306760788e-10,-2.73667407035828e-09,1.84314538836479e-08,-6.49407148361207e-09,6.22537386417389e-09,8.36614310741425e-10,-3.42066705226898e-09,-2.15002894401550e-11,1.0297417640686e-11,3.51716500520706e-09,-1.9526589512825e-09,1.83154594898224e-09,-1.19805634021759e-10,-7.3572525382042e-09,2.03004515171051e-09,-1.49918451018334e-05,-0.000134296359036446,-1.80461543938518e-05,-1.20762202990055e-06,1.00000001027765,-9832.92922324568
-1.04084240722071e-06,7.26816341864349e-07,-3.27532817098855e-07,-1.53191584948944e-07,-2.65682745475877e-07,1.49877571353448e-07,4.05503260259637e-10,1.30546849085336e-07,-2.10962111443655e-07,1.8578117897245e-08,-5.22195729780504e-08,-6.16402858274639e-08,-2.29397151633152e-07,9.05569248605044e-09,-5.24359802443833e-08,-1.06309089630965e-07,-1.2072069868345e-07,-5.59885534399034e-09,-2.39352000085335e-08,-5.61943747317285e-08,-4.56306793618585e-07,3.70734016101311e-07,-2.1381622505929e-07,1.044351125908e-09,-1.19810694339889e-07,1.18745086809365e-07,-1.73045010079507e-08,1.80393614437e-08,-2.1493526782492e-07,1.81199412323631e-07,-3.51051414061661e-08,1.60778956988433e-08,-1.27924728684797e-07,1.17730112124627e-07,-3.68798355235115e-08,-4.42955150846694e-08,-1.57495476865473e-07,1.11163607819889e-07,-5.70594766994232e-08,-5.98922657030045e-08,-3.09045632417512e-07,1.50624879073145e-07,-8.56790994757328e-08,-3.45111319266441e-08,-1.10461626721813e-06,6.75020896817019e-07,-6.5254688682989e-07,-6.64031966895776e-07,-4.55554317309653e-07,7.98408410707745e-07,-7.70570976055747e-07,-1.83483975945627e-07,-8.62459820548165e-08,1.21772022954449e-08,-1.79590005947964e-08,-5.24380194726508e-09,-1.1207260494947e-07,6.05770417944345e-07,-1.89661634868412e-07,1.44943638152957e-07,1.56583220290758e-07,-1.04151021737354e-07,1.57140128717027e-10,2.35744443893244e-10,1.99297368421207e-07,-6.13824819276081e-08,8.66721568570868e-08,-3.91049531047684e-09,-2.22941684980846e-07,1.34152275030844e-07,-0.000512563480111943,-0.000216283807227713,-0.000569269463171436,-0.000460915113056318,1.00000010294094,-9598.1772380191
-3.55361333524226e-06,2.41209620504287e-06,-9.56324893932735e-07,-9.23899553239412e-08,-9.05123764593644e-07,4.9173216286531e-07,1.964406666636e-08,5.0811514287778e-07,-7.16390552100577e-07,6.94651478257294e-08,-1.45740826470936e-07,-1.27026923080356e-07,-7.73468462341733e-07,3.93694938514368e-08,-1.48986900998602e-07,-2.69832469736005e-07,-4.0697894318317e-07,-1.21717347452599e-08,-6.90546331362839e-08,-1.40094304650827e-07,-1.55782041435289e-06,1.22615494357525e-06,-6.52468556041961e-07,1.80769986052073e-07,-4.03786667782503e-07,3.86720910337021e-07,-5.26315630069324e-08,7.87506155150493e-08,-7.27386940130244e-07,5.94108730161747e-07,-1.06182690394984e-07,1.02913338023436e-07,-4.39743530862917e-07,3.8872509215603e-07,-1.06833063502859e-07,-9.08001316734907e-08,-5.38487463610641e-07,3.72055420092214e-07,-1.63443222458258e-07,-1.19076255209101e-07,-1.05765527931254e-06,5.06876468523122e-07,-2.4638183569177e-07,2.89301866532382e-08,-3.77241637553613e-06,2.28630769175265e-06,-1.94328885044309e-06,-1.57138633164733e-06,-1.64968094671345e-06,2.61869027067207e-06,-2.26037182225021e-06,-3.07048730493423e-07,-2.931998843168e-07,4.17889883578617e-08,-5.21564272898941e-08,8.92094053797174e-09,-4.09154137869345e-07,1.97772864219231e-06,-5.91698809071656e-07,5.56569238091126e-07,5.23830133160981e-07,-3.0579807282042e-07,5.67151736899514e-10,9.26611456222535e-10,6.58559101797831e-07,-1.76288005912277e-07,2.85034009259116e-07,-1.09311304231522e-08,-6.60399801879063e-07,4.44035672333902e-07,-0.00175763997606053,-0.000250688748919445,-0.00154949798159449,-0.000286936527582049,0.999999849619533,-8954.53635007183
-6.81429999771812e-06,5.98120338874149e-06,-8.77930401342338e-07,-3.96943182371401e-07,-1.91417617317812e-06,1.18202202627287e-06,3.73073488461651e-07,1.21953482785213e-06,-1.40691067788802e-06,1.6364330075553e-07,-8.46945785077243e-08,-3.487518973063e-07,-1.52969122416338e-06,9.71336309796273e-08,-1.22499322560334e-07,-6.87030017580775e-07,-7.78638351110632e-07,-3.05643551869112e-08,-7.13497126252524e-08,-3.52314465170164e-07,-2.99940241140377e-06,3.04677645876229e-06,-1.02105563891653e-06,3.98092210673632e-07,-9.44552462479604e-07,9.45590907107461e-07,-5.81823807948318e-08,1.70181576935524e-07,-1.59693320046184e-06,1.47204302824528e-06,-1.18157482816004e-07,2.01837228230265e-07,-8.41961051571699e-07,9.68711027972404e-07,-7.65468165410388e-08,-2.62255475401934e-07,-9.34713401670196e-07,9.33525451265017e-07,-1.15734977317179e-07,-2.96528966892904e-07,-1.89715877552087e-06,1.25259758582772e-06,-1.51898627753218e-07,3.55805605376404e-08,-6.15102097488552e-06,5.85028633916419e-06,-2.65734464114994e-06,-3.8102132864221e-06,-2.89065272652276e-06,6.2247054225993e-06,-2.29126772995813e-06,-1.33689006433938e-06,-6.14726023004886e-07,9.18108796225675e-08,-3.74176856325782e-08,1.46009953028627e-09,-6.50013839085248e-07,4.91685459886151e-06,-9.93153538803228e-07,1.32332901682183e-06,1.29544105341014e-06,-3.25296624845885e-07,1.09594135342844e-09,4.51964267491769e-09,1.64137453528208e-06,-9.66908966501823e-08,7.04898705777571e-07,-1.69561187822978e-10,-7.49904896412124e-07,1.10045389064377e-06,-0.00280133311185442,-0.000293801006068458,-0.000938967780816802,-0.000498326990885986,0.999997817458703,-8855.41961901831
-0.105002473557344,0.242141525271968,-0.0240024229205715,-0.018098397788261,-0.0453583629946395,0.0456453360750173,0.0174491676534491,0.0486486012793836,-0.0268917984142474,0.00626818273426005,-0.000375954389357115,-0.0145558414387911,-0.0311221344806951,0.00391211364139434,-0.00211414523317754,-0.0274339561330481,-0.0139036964002779,-0.00149084646008549,-0.00184748170395021,-0.0143187741997223,-0.0468729140981838,0.122946792474697,-0.0377384084398324,0.0158803251069757,-0.0307366299703462,0.0369653320603143,-0.00237879564664378,0.00570321516413055,-0.0445067368775019,0.0586165010986588,-0.00444168918563643,0.00530387558120226,-0.0122520974444181,0.0393896205061776,-0.00175665775616566,-0.0117751702163116,-0.005488492459598,0.0388768993155135,-0.00202684953038362,-0.0108093003540999,-0.0170136173734694,0.0505684684809131,-0.00251713563112483,0.00180430277897851,0.00330399866394636,0.251420326262836,-0.0869311450799191,-0.137459744402557,0.0235870016772672,0.256119234736747,-0.0664763599819691,-0.0552664764069097,-0.0145831412181613,0.00293074406212722,-0.000760386330741701,-0.000632638176195769,0.0131021712432672,0.20026569951706,-0.039818363870071,0.0530247673000766,0.0524902238706129,-0.00960592163720435,2.36513817076358e-05,0.000207612049452071,0.0669298736215843,-0.00138891349254139,0.0283068751264432,0.000177324919751721,-0.0237845670697835,0.0444045938017379,-0.00250606961787949,-0.000425688942839765,-0.000750378061602988,-0.000432725339444709,0.947350594465822,-8430.61605258346
-0.158043521064339,0.333130456091562,-0.0138114413446061,-0.0206638119336978,-0.0835686484918546,0.0571946612352268,0.0468243294714511,0.114493772728544,-0.0581888521386379,0.00323752772231304,0.000566462472520098,-0.0316266975710493,-0.0666898312847988,-0.00735121065070482,-0.00305109852314348,-0.058578535754021,-0.0293237117151289,-0.0100404876017046,-0.00355154239029367,-0.0312189334095241,-0.0579506096786507,0.157206117797101,-0.0639469127084089,0.0466890976021729,-0.0570587152171372,0.0654278324358573,-0.00249603879700875,0.012846597811951,-0.0859554092214678,0.10396885226745,-0.00416206581985297,0.0114095734798712,-0.0180545559785374,0.0617408375306848,0.00234145907453995,-0.0242009105419989,-0.00329305991153641,0.0553567105662879,0.00205769737009433,-0.0209981772508238,-0.0121962048072648,0.0394807883409856,0.0067487828601814,0.0135288829822932,0.0925331750117465,0.24754881652994,-0.140975592449476,-0.26032381989191,0.148775035117681,0.186362988670258,-0.0403973684292253,-0.0669189762557971,-0.0289846317364422,-0.002880528930874,-0.000546705087115526,-0.000544849989446326,0.0929568855649476,0.295009587334958,-0.056203237084688,0.131912978215773,0.0642148565674323,-0.0112927223151172,-8.89057148097269e-05,0.000491069555626315,0.0989975229780221,0.00652092797397133,0.0448603393170157,0.00122942006998992,-0.0281637853342846,0.0635349874784832,-0.00274648032662221,-0.000435157113656348,-0.000680003497448288,-0.000380250155453973,0.974942659886239,-8219.59185913146
-0.635213405811883,0.624523089838566,0.159129216199695,0.0507379969369451,-0.340456403858297,0.0341639665655737,0.289824697162623,0.600223977902562,-0.291666005088882,-0.0392928440877856,0.00852438192634241,-0.151618601699174,-0.341615509484896,-0.125951379530077,-0.00685553257864773,-0.264271812871026,-0.135989782871484,-0.106255929314774,-0.0157984533549796,-0.145367236239017,-0.117755237813625,0.122741948702619,-0.20987115885166,0.324595924708077,-0.183707172586873,0.190659863410228,0.00726397375175182,0.0548544634645508,-0.32101893956162,0.329361155755058,0.0144218885416992,0.0360990558443232,-0.0732175898374002,0.185711490133286,0.0448717798485262,-0.107835459103331,-0.0344844001417932,0.138362887255808,0.0507264423087866,-0.0693565112194717,-0.0431788537538194,-0.151628164560417,0.102420450982669,0.144635729494942,0.146506952927116,-0.172128015282134,-0.410566582336212,-0.778435777864257,-0.0698137911221348,0.091558472771041,0.362712139199232,0.0279404527378094,-0.122534183456799,-0.075042047705165,0.00226219963071259,0.0018753812177748,0.593343690191186,0.761426031824937,-0.0947636084555809,0.755059087849966,0.0631653352382676,0.00049298189902793,-0.00141693550886974,0.002699665833199,0.237499189416062,0.08970832064826,0.126660491436745,0.0112479579052854,-0.00155329294044651,0.131571248968763,-0.00117303566024805,-0.000399333297068171,-0.00148533544312968,-0.000236463710715782,0.674003660207703,-7711.48846890929
-0.66270676092561,0.649728137650506,0.189624156075165,0.0667502618628094,-0.383105305031736,0.0267934696326407,0.363467392167433,0.712681538782488,-0.359821398963848,-0.0572322063383657,0.00804122205570878,-0.181970059184617,-0.426333977291376,-0.162458026091105,-0.0110073140778459,-0.315926140334977,-0.166548304228244,-0.141476377505507,-0.0208127765111075,-0.17504191082829,-0.0533729323318308,0.0736431648356408,-0.264952600418103,0.394726880582883,-0.193089404395308,0.20416978195242,0.0122117483193652,0.0604783888048566,-0.354567934658083,0.359428076144346,0.0206493063351636,0.0375994148202223,-0.0711401921751659,0.209557741179164,0.0526226612783238,-0.131005611224653,-0.0334575174942983,0.155134932105524,0.0624842897894443,-0.0759916692654711,-0.0272578986564669,-0.196174157608833,0.120615429838535,0.170190982753589,0.176325408717624,-0.298298551691195,-0.533913089917503,-0.856920015433563,-0.065611745173091,0.182605845386369,0.388035242926673,0.0320478195512853,-0.140816096815898,-0.101025301644506,0.0012209009811605,0.00208730557193915,0.852268110913716,0.855621403551102,-0.119545942422404,0.916044380488768,0.0493497655755925,-0.00204396981952836,-0.00192848785237107,0.00338603333895694,0.263316852030819,0.109957661363005,0.143870834448226,0.0140488126631217,-0.00933164117455448,0.139179172315756,-0.00119817003371342,-0.000389202789537091,-0.00146501811804127,-0.000240857324541434,0.598669711604654,-7521.38087617674
