"cons_carp","cons_walk","cons_bike","cons_ptwalk","s_age2_carp","s_age2_walk","s_age2_bike","s_age2_ptwalk","s_age4_carp","s_age4_walk","s_age4_bike","s_age4_ptwalk","s_age5_carp","s_age5_walk","s_age5_bike","s_age5_ptwalk","s_age6_carp","s_age6_walk","s_age6_bike","s_age6_ptwalk","s_female_carp","s_female_walk","s_female_bike","s_female_ptwalk","s_inc1_carp","s_inc1_walk","s_inc1_bike","s_inc1_ptwalk","s_inc2_carp","s_inc2_walk","s_inc2_bike","s_inc2_ptwalk","s_inc3_carp","s_inc3_walk","s_inc3_bike","s_inc3_ptwalk","s_inc4_carp","s_inc4_walk","s_inc4_bike","s_inc4_ptwalk","s_inc6_carp","s_inc6_walk","s_inc6_bike","s_inc6_ptwalk","s_cars_carp","s_cars_walk","s_cars_bike","s_cars_ptwalk","s_bikes_carp","s_bikes_walk","s_bikes_bike","s_bikes_ptwalk","s_work2_carp","s_work2_walk","s_work2_bike","s_work2_ptwalk","s_work4_carp","s_work4_walk","s_work4_bike","s_work4_ptwalk","s_vgvi_walk","s_vgvi_bike","s_light_walk","s_light_bike","s_shannon_walk","s_shannon_bike","s_crime_walk","s_crime_bike","s_streslnk_bike","s_stresjct_walk","s_timecarp","s_distwalk","s_distbike","s_timept","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10905.3636642672
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10905.3636642672
-1.14499584e-07,2.7222016e-08,-4.6956544e-08,-9.32003840000001e-08,-3.46002773333334e-08,5.37668266666667e-09,2.441216e-09,1.73370026666667e-08,-3.12142506666667e-08,-2.02369706666667e-08,-7.92166400000001e-09,-1.36833706666667e-08,-3.4226176e-08,-2.0791296e-08,-8.13465600000001e-09,-2.1774336e-08,-1.73861546666667e-08,-9.84951466666667e-09,-3.637248e-09,-1.23071146666667e-08,-4.52007253333334e-08,2.03352746666667e-08,-3.3677312e-08,-3.56980053333334e-08,-1.52726186666667e-08,2.58512213333334e-08,-2.097152e-09,-1.05212586666667e-08,-2.5206784e-08,1.9357696e-08,-4.153344e-09,-9.64198400000001e-09,-1.0100736e-08,2.514944e-09,-4.775936e-09,-1.5343616e-08,-1.6089088e-08,-1.3631488e-08,-7.85612800000001e-09,-1.8874368e-08,-3.71316053333334e-08,4.48375466666667e-09,-1.2746752e-08,-2.50074453333334e-08,-1.0571776e-07,-7.22944000000001e-08,-1.0256384e-07,-1.7977344e-07,-1.1739136e-08,3.9378944e-08,-1.11845376e-07,-9.30037760000001e-08,-1.27658666666667e-08,-2.77162666666667e-09,-2.62144e-09,-4.41002666666667e-09,1.7620992e-08,1.05930752e-07,-2.8622848e-08,-2.6779648e-08,-5.13513824870423e-09,-1.64636346972948e-08,-1.41811728259953e-10,5.52660975244315e-11,9.63365188462419e-09,-7.32449522876255e-09,2.05640530659256e-09,-4.64723111867458e-10,-2.96456244019328e-08,1.78592107127711e-09,-6.18264390475184e-05,-1.86598483589061e-07,-3.57945638284966e-07,-0.000109962454487243,-10866.8634692368
-4.26171264487648e-06,5.5380222437627e-07,-1.76332199431643e-06,-2.20104364425061e-06,-1.26600460098432e-06,1.05963469555107e-07,6.2856454019079e-08,8.17803134816838e-07,-1.13539709834874e-06,-7.79226457067727e-07,-3.00204108887141e-07,-2.93667406280396e-07,-1.24190939547169e-06,-7.99683638538886e-07,-3.05170009087182e-07,-5.72681678271214e-07,-6.34810716616366e-07,-3.87541086418258e-07,-1.35295655198854e-07,-3.22074261312772e-07,-1.69662824321863e-06,5.35263062449096e-07,-1.2288996464945e-06,-7.81448460625699e-07,-5.5496666522101e-07,8.80526891874594e-07,-7.95952113436829e-08,-3.08693821049113e-07,-9.22545411284741e-07,6.20902441520338e-07,-1.56986422076247e-07,-2.00063436440901e-07,-3.85450010147993e-07,3.72592521014439e-08,-1.81973569312351e-07,-4.03788488773002e-07,-6.06362897567945e-07,-5.50466996232e-07,-2.97846183617043e-07,-4.62634204886576e-07,-1.38571766177119e-06,2.16177605235735e-08,-4.8178752435024e-07,-5.12689755744254e-07,-4.01207954779643e-06,-3.06577855606287e-06,-3.76828649711961e-06,-4.78478908019973e-06,-5.49728420817086e-07,1.12695292772308e-06,-4.18127307272968e-06,-2.39728885470393e-06,-4.64301480727724e-07,-1.23449789405009e-07,-9.85743875449766e-08,-8.7867758822383e-08,5.52851563036477e-07,3.61998287533654e-06,-1.04089425329406e-06,-6.78510021194169e-07,-2.98878103340217e-07,-6.13447187381346e-07,-5.64345628442018e-09,1.78485374335629e-09,2.61545708885174e-07,-2.79729335210349e-07,6.46364938870165e-08,-1.83610571875429e-08,-1.10059026543913e-06,4.83616074646169e-08,-0.00228321866050472,-9.80234680534767e-06,-1.34908790308818e-05,-0.000178153739099472,-10597.3999318085
-0.00135363954567244,-0.00272823842058735,-0.00498669224231929,-0.00506269668455202,-0.00110356526500926,-0.000634907092457583,-8.9095970670274e-05,0.00171647195958437,-0.00114255295293408,-0.00240200183305477,-0.000865419295820294,-0.000654829663722813,-0.00135647134158349,-0.0024485882062656,-0.000852568275965248,-0.00126553300869046,-0.00058618094568625,-0.0012711483596766,-0.000372109208360894,-0.000723708016927388,-0.00017551931929843,-0.000577925290338833,-0.00316581290173584,-0.00183909200099257,-0.000786110185716416,0.0016894930688978,-0.000230543225038515,-0.000734808212922393,-0.000947310461088896,0.00076570118209537,-0.000456096534805141,-0.000523941911316782,0.000182652078131111,-0.000426000237447624,-0.000540829554706653,-0.000924802427238592,0.000143131519683469,-0.00191534112167282,-0.000865490660342025,-0.00102124812061635,-0.000335009357104673,-0.00127779562029392,-0.00139426847249275,-0.00118458648969006,0.00239019232136922,-0.011829092028596,-0.00988476264176981,-0.0104849121532343,0.00509312450426214,0.000183930399127379,-0.0116372924630444,-0.00506249229868258,-0.000513162552307461,-0.0005402479479485,-0.000281676369582126,-0.000213475966642502,0.00321162050220849,0.00708442996485996,-0.00265568650444937,-0.0016067877590957,-0.00182531018486019,-0.00168932179224027,-1.88199316586781e-05,2.61754855118737e-06,-0.000187347297427515,-0.000836980623463622,6.70673502872406e-05,-6.0535713384368e-05,-0.00300030386659567,-3.44673434538603e-05,-0.00276068318926447,-0.056167342851935,-0.0391586866340496,-0.000248019989387657,-10302.521020677
-0.0194816396253438,0.0283258774537799,-0.0298154581031353,-0.0463091956946844,-0.0106033657963412,0.00506871087516765,0.000992988874071064,0.0109552646850862,-0.00948905212068386,-0.0117145613023022,-0.00549181690396667,-0.0055338982622039,-0.0111320714879744,-0.0115723540225989,-0.00547618376940337,-0.00999062785474217,-0.00494102120813891,-0.0053141872285892,-0.00241695488714375,-0.00583955651088084,-0.00594996067517365,0.0187394771046338,-0.0205646104056465,-0.0178203580764712,-0.00766268249794117,0.0169894180665691,-0.00136556611640819,-0.0072400440850025,-0.00912590385435908,0.0130547937217058,-0.0025878009878734,-0.00597266273646518,0.000230575299488614,0.00302412001082825,-0.00300015480878857,-0.00817486761795972,0.000130217718029668,-0.00648909116269625,-0.00502947526197583,-0.00839178065417353,-0.00537706919431203,0.00700740710509808,-0.0080965179796514,-0.0110919928926357,0.0113173729403957,-0.0249124319114292,-0.063221412840042,-0.082778131371122,0.0290305279868205,0.0360507214357431,-0.0693458284934955,-0.0455838531698097,-0.0045211837941906,-0.0011108270656879,-0.00173516610889969,-0.0021513374158631,0.018940100768697,0.0721028202589078,-0.0163258950740821,-0.0171298995004156,-0.000428532376785616,-0.0105253259408545,-7.81363493870513e-05,2.8777390934228e-05,0.00864907482758167,-0.00463238843595141,0.00151423504679366,-0.000306808936459515,-0.0183501798590296,0.0015663350225041,-0.0029235606059457,-0.0272592731266348,-0.233560352886079,-0.0002203663329294,-10277.1039995019
-0.12812398610418,0.155017698887927,-0.0277212447802701,-0.245579582965869,-0.0606254102824077,0.024965471010338,0.0320713126169593,0.0560865054875544,-0.0520638946175678,-0.0602805774370074,-0.00956525483895559,-0.0301951127433724,-0.0605270907991353,-0.0578563074869575,-0.0117480462590493,-0.0519823150813477,-0.0267619636005177,-0.024858370706082,-0.0055214345283008,-0.0306533439038869,-0.0430570316278095,0.10165966346344,-0.0526869591668914,-0.0920869151893478,-0.0432501973036653,0.0896144115002424,0.000369659236622707,-0.0400181344882956,-0.0517957003126702,0.0702566850235707,0.00119192412564138,-0.0337993046356011,-0.00243386588693319,0.0164654202372351,0.00167615971630891,-0.0438730625285993,-0.00304878318600325,-0.0322428537776572,-0.00280467226914112,-0.0439063678552083,-0.0360019898121774,0.0400974641230948,-0.00324284050358966,-0.0564193255840868,0.0302143852057021,-0.115193525953764,-0.153869435317307,-0.416948975295242,0.0925375883009443,0.108188667079003,-0.0738275378272499,-0.249391288045168,-0.0250426564781494,-0.00493625383283217,-0.00220346641197008,-0.0117196781883432,0.0822935519787967,0.372321766070468,-0.0293502062206206,-0.0894096510475804,-0.00121164555596045,-0.0177985537759145,-0.000388736405830855,0.000297375005045487,0.0465912881646973,0.00263134849245189,0.00807719305315143,0.000856621275275151,-0.0265992034664774,0.00856327691627213,-0.00288339867382408,-0.0667846259470959,-0.194307054638187,3.41156098953629e-05,-9614.55666050006
-0.735120730233468,0.628417891454672,-0.0139480641584391,-0.533480714857556,-0.294518266299847,-0.0094626072759812,0.204724666235354,0.493784867296957,-0.294768138225008,-0.233081641169863,-0.0356073594875815,-0.144196303421794,-0.345714070064564,-0.221778866150878,-0.0483057303645522,-0.224023373527077,-0.148659669266567,-0.0781059999211403,-0.0247940022739354,-0.15038435203912,-0.209356853951908,0.304541500904723,-0.226747232384202,-0.0113968427729481,-0.195576302817734,0.37849575932373,0.0102868969376818,-0.142155674485326,-0.251184604354208,0.325737511937686,0.021908013553543,-0.124220281916325,-0.0255524408741344,0.076714489878829,0.0268003323598041,-0.15351101960254,-0.0539221960267893,-0.116757315202489,0.00778504981072054,-0.134649893419269,-0.203141617849303,0.10784549611959,0.0256738660816864,0.0225010476267196,-0.157816506266141,-0.598492150695473,-0.640308156266633,-0.853451379320875,0.106740809023517,-0.521173593701034,-0.0583893126344331,0.287466668742831,-0.134820254569894,-0.00994172628449358,-0.00666564015731464,-0.0360900116306014,0.453442796619406,1.40797335917362,-0.0847640281884778,0.176013369498893,-0.0487916658531353,-0.0568295803731422,-0.0015603980614189,0.00178502154072735,0.193638755457287,0.0417898676493499,0.0369424286855672,0.00720935138492668,-0.0709771329255761,0.0384641693939125,-0.00119984741705569,-0.052289213165362,-0.145455780949002,0.00010396805807834,-9307.82988697494
-0.990003536664974,0.982729355556414,0.0291253537427262,-0.521076585270699,-0.439747801728245,-0.163882546575256,0.41998247473292,1.04659911892395,-0.552749702702215,-0.340370948143208,-0.0669263930796738,-0.265867105200182,-0.644332664320701,-0.319192760723791,-0.0896751168881202,-0.385021344443856,-0.269368819905709,-0.120361387563024,-0.0485752784962966,-0.258799970050628,-0.1103949455239,0.283354464022249,-0.420767002764807,0.325569189066223,-0.274992067122114,0.524545599635378,0.0258812446496241,-0.175197087404284,-0.383182866111179,0.454363951872941,0.0496148136506193,-0.157023566920472,-0.00316549456026858,0.146191037045085,0.0571480712432872,-0.260404422239267,-0.0844476869040695,-0.118148306906756,0.0234882246568951,-0.206645877075151,-0.224480043275854,0.114528293014932,0.0696158983978643,0.224132899041805,-0.0602492004938352,-0.665111364213077,-1.17386389578308,-0.843344058557812,0.265094576958627,-0.191977361196308,0.0290077300787643,0.484651319809456,-0.23090209517782,-0.0166032534865801,-0.0124732486233937,-0.0441534977460879,1.20055409562076,2.09311952088644,-0.126178793982758,0.737790068238431,-0.124446354221652,-0.0955749710544941,-0.00269391154755877,0.0036065039061753,0.304024812346924,0.0929785506804893,0.0621202359574469,0.0153067678308255,-0.110761309759511,0.0628407105572737,-0.00113911492896925,-0.119603081618196,-0.0183247774197553,-3.43489098731963e-05,-8681.46371081203
-1.10984538526814,1.13470636456658,0.118293610988544,-0.58333317542265,-0.53209519335058,-0.279278309749317,0.700441146676704,1.4204268402083,-0.838126942790885,-0.41349779710373,-0.120855302095076,-0.381598134265037,-0.975888758087812,-0.366079446503585,-0.140507380095279,-0.542345847398948,-0.399667425156047,-0.14243317792803,-0.083231352842716,-0.363421747897161,0.139093055215172,0.144488567501948,-0.620472481967271,0.573588975001764,-0.303649052136673,0.567552435750836,0.0478891990208394,-0.173098291516137,-0.461851440078948,0.453074693711796,0.0822842675958709,-0.160419733368297,0.0457637232514878,0.185296591857757,0.0882609522338631,-0.374897765361031,-0.128879182347595,-0.090106473122256,0.045406525130186,-0.278621747296916,-0.168199237261013,0.122803970723418,0.146614979460699,0.295206851915585,-0.0805838204834859,-0.777131483205309,-1.68930444642212,-0.913773714072021,0.228358366828234,-0.50648136827702,0.305516637659925,0.0870802732627697,-0.321176360952471,-0.0101678717428108,-0.0238187718637412,-0.062320779787046,2.17912575166679,2.31069684432033,-0.095864899539984,1.34143305096328,-0.285219037799045,-0.130696478640601,-0.00372463040170547,0.00578224660801763,0.366742607347836,0.159902418041255,0.0868601971064769,0.0255975560124708,-0.138390779799899,0.0823691484854255,-0.00103098118676843,-0.068898686859272,-0.0308985148042628,4.79528203313778e-05,-8345.87523183953
